"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 08 19:11:39 GMT 2021","Sun Aug 08 19:11:40 GMT 2021","709","test","test_07_logging_out","TestLogout","","","test_logout",""
"passed","Sun Aug 08 19:11:08 GMT 2021","Sun Aug 08 19:11:14 GMT 2021","5562","test","test_01_02_managing_cookies","TestCookies","","","test_accepting_cookies",""
"passed","Sun Aug 08 19:11:00 GMT 2021","Sun Aug 08 19:11:06 GMT 2021","5605","test","test_01_02_managing_cookies","TestCookies","","","test_declining_cookies",""
"passed","Sun Aug 08 19:12:08 GMT 2021","Sun Aug 08 19:12:14 GMT 2021","6283","test","test_14_yourfeed_scrolling_down_and_going_to_next_page","TestYourFeed","","","test_your_feed",""
"passed","Sun Aug 08 19:12:05 GMT 2021","Sun Aug 08 19:12:06 GMT 2021","1028","test","test_13_editing_article_and_adding_tag","TestEditArticle","","","test_editing_article_and_adding_tag",""
"passed","Sun Aug 08 19:11:43 GMT 2021","Sun Aug 08 19:11:44 GMT 2021","982","test","test_08_09_changing_the_settings","TestChangeSettings","","","test_change_username",""
"passed","Sun Aug 08 19:11:51 GMT 2021","Sun Aug 08 19:11:52 GMT 2021","1452","test","test_10_creating_article_and_saving_body","TestCreateAndDeleteArticle","","","test_create_new_article_and_saving_it",""
"passed","Sun Aug 08 19:11:16 GMT 2021","Sun Aug 08 19:11:19 GMT 2021","2663","test","test_03_04_signing_up","TestSignUp","","","test_sign_up_with_noncomplying_password",""
"passed","Sun Aug 08 19:11:34 GMT 2021","Sun Aug 08 19:11:37 GMT 2021","2329","test","test_05_06_signing_in","TestSignIn","","","test_sign_in_with_correct_password",""
"broken","Sun Aug 08 19:12:01 GMT 2021","Sun Aug 08 19:12:01 GMT 2021","1","test","test_12_creating_multiple_articles","TestCreateMultipleArticles","","","test_create_multiple_articles",""
"passed","Sun Aug 08 19:11:30 GMT 2021","Sun Aug 08 19:11:32 GMT 2021","2384","test","test_05_06_signing_in","TestSignIn","","","test_sign_in_with_wrong_password",""
"passed","Sun Aug 08 19:11:56 GMT 2021","Sun Aug 08 19:11:58 GMT 2021","2283","test","test_11_deleting_existing_article","TestDeleteArticle","","","test_delete_article",""
"passed","Sun Aug 08 19:11:48 GMT 2021","Sun Aug 08 19:11:48 GMT 2021","934","test","test_08_09_changing_the_settings","TestChangeSettings","","","test_add_biography",""
"passed","Sun Aug 08 19:11:21 GMT 2021","Sun Aug 08 19:11:28 GMT 2021","6423","test","test_03_04_signing_up","TestSignUp","","","test_sign_up_with_complying_password",""
